Makary Lawniczak makary.lawniczak@student.uwm.edu.pl
Albert Polakowski albert.polakowski@student.uwm.edu.pl
Arkady Gubala arkady.gubala@student.uwm.edu.pl
Narcyz Wiech narcyz.wiech@student.uwm.edu.pl
Zenon Toczek zenon.toczek@student.uwm.edu.pl
Anioł Zaucha aniol.zaucha@student.uwm.edu.pl
Lubomir Orlikowski lubomir.orlikowski@student.uwm.edu.pl
Mateusz Pabian mateusz.pabian@student.uwm.edu.pl
Onufry Szafran onufry.szafran@student.uwm.edu.pl
Fabian Rusak fabian.rusak@student.uwm.edu.pl
Patryk Skwarek patryk.skwarek@student.uwm.edu.pl
Wielisław Szydlo wielislaw.szydlo@student.uwm.edu.pl
Apoloniusz Niestroj apoloniusz.niestroj@student.uwm.edu.pl
Lechosław Banach lechoslaw.banach@student.uwm.edu.pl
Bolesław Kapala boleslaw.kapala@student.uwm.edu.pl
Apoloniusz Czaplicki apoloniusz.czaplicki@student.uwm.edu.pl
Urban Rybacki urban.rybacki@student.uwm.edu.pl
Waldemar Sladek waldemar.sladek@student.uwm.edu.pl
Justyn Bielschowsky justyn.bielschowsky@student.uwm.edu.pl
Anatol Klepacki anatol.klepacki@student.uwm.edu.pl
Zachariasz Prusinski zachariasz.prusinski@student.uwm.edu.pl
Horacy Szydlowski horacy.szydlowski@student.uwm.edu.pl
Melchior Perzan melchior.perzan@student.uwm.edu.pl
Leo Tomasko leo.tomasko@student.uwm.edu.pl
Bonifacy Wachal bonifacy.wachal@student.uwm.edu.pl
Iwan Piasecki iwan.piasecki@student.uwm.edu.pl
Bogumir Banach bogumir.banach@student.uwm.edu.pl
Grzegorz Moczygemba grzegorz.moczygemba@student.uwm.edu.pl
Witold Kendziorski witold.kendziorski@student.uwm.edu.pl
Hubert Tara hubert.tara@student.uwm.edu.pl
Konstantyn Wasik konstantyn.wasik@student.uwm.edu.pl
Kornel Cieply kornel.cieply@student.uwm.edu.pl
Maurycy Bielawski maurycy.bielawski@student.uwm.edu.pl
Korneli Lysek korneli.lysek@student.uwm.edu.pl
Bartosz Blechacz bartosz.blechacz@student.uwm.edu.pl
Wiktor Gura wiktor.gura@student.uwm.edu.pl
Ziemowit Radecki ziemowit.radecki@student.uwm.edu.pl
Sławomierz Pientka slawomierz.pientka@student.uwm.edu.pl
Włodzimierz Kubicki wlodzimierz.kubicki@student.uwm.edu.pl
Olaf Gursky olaf.gursky@student.uwm.edu.pl
Krzesisław Drozdowski krzesislaw.drozdowski@student.uwm.edu.pl
Antoni Wiech antoni.wiech@student.uwm.edu.pl
Hubert Kopecki hubert.kopecki@student.uwm.edu.pl
Ferdynand Dulski ferdynand.dulski@student.uwm.edu.pl
Urban Pokrywka urban.pokrywka@student.uwm.edu.pl
Igor Luczak igor.luczak@student.uwm.edu.pl
Bogdan Plonski bogdan.plonski@student.uwm.edu.pl
Krystian Winnicki krystian.winnicki@student.uwm.edu.pl
Romuald Szczygiel romuald.szczygiel@student.uwm.edu.pl
Artur Nowak artur.nowak@student.uwm.edu.pl
Iwona Bona iwona.bona@student.uwm.edu.pl
Olga Rudzik olga.rudzik@student.uwm.edu.pl
Dominika Doktor dominika.doktor@student.uwm.edu.pl
Teresa Dylewska teresa.dylewska@student.uwm.edu.pl
Donata Adamczyk donata.adamczyk@student.uwm.edu.pl
